budget,homepage,id,original_language,release_date,revenue,runtime,title,genre
26000000,,1551,en,1990-08-09,61489265,115,Flatliners,Documentary
4000000,,10246,en,1981-11-13,125728258,94,Porky's,Drama
6500000,,19698,en,1983-06-24,33759266,98,Porky's II: The Next Day,Comedy
9000000,,23919,en,1985-03-22,20518905,92,Porky's 3: Revenge,Adventure
35000000,,169,en,1990-11-20,57120318,108,Predator 2,Thriller
27000000,,865,en,1987-11-13,38122105,101,The Running Man,Drama
22000000,http://www.theofficialjohncarpenter.com/starman/,9663,en,1984-12-13,28744356,115,Starman,Drama
16000000,,10128,en,1988-10-07,32155047,91,Alien Nation,Documentary
400000,,9659,en,1979-04-12,100000000,93,Mad Max,Comedy
2000000,,8810,en,1981-12-24,24600832,95,Mad Max 2: The Road Warrior,Action
12305523,,9355,en,1985-06-29,36230219,107,Mad Max Beyond Thunderdome,Sci-Fi
17000000,,635,en,1987-03-06,17185632,113,Angel Heart,Sci-Fi
17000000,,10068,en,1986-02-14,6735922,117,Nine 1/2 Weeks,Documentary
15000000,,11495,en,1984-05-11,17080167,114,Firestarter,Documentary
7000000,,10117,en,1988-02-12,20256975,96,Action Jackson,Drama
90000000,,9679,en,2000-06-09,237202299,118,Gone in Sixty Seconds,Comedy
13000000,,51333,en,2000-03-31,299792,93,Love's Labour's Lost,Drama
4000000,,482,en,1971-07-02,12121618,100,Shaft,Thriller
1600000,,592,en,1974-04-07,4420000,113,The Conversation,Drama
5500000,,12611,en,1978-03-10,24000000,118,The Fury,Comedy
3000000,,9040,en,1973-12-05,29800000,129,Serpico,Sci-Fi
1821052,,25364,en,1951-06-29,1300000,111,Ace in the Hole,Thriller
3000000,,5121,en,1974-04-05,12800000,110,The Sugarland Express,Thriller
25000000,http://www.theofficialjohncarpenter.com/big-trouble-in-little-china/,6978,en,1986-05-30,11000000,99,Big Trouble in Little China,Thriller
16000000,,10571,en,2000-06-16,20627372,94,Boys and Girls,Comedy
46000000,,479,en,2000-06-15,107196498,99,Shaft,Sci-Fi
75000000,,7450,en,2000-06-16,36754634,94,Titan A.E.,Adventure
3000000,,31023,es,1999-09-24,6000000,96,Butterfly,Horror
45000000,,7443,en,2000-06-21,224834564,84,Chicken Run,Drama
51000000,,2123,en,2000-06-22,149270999,116,"Me, Myself & Irene",Adventure
110000000,,2024,en,2000-06-28,215294342,165,The Patriot,Action
76000000,,17711,en,2000-06-30,35134820,88,The Adventures of Rocky & Bullwinkle,Adventure
120000000,,2133,en,2000-03-15,325756637,130,The Perfect Storm,Sci-Fi
1500000,,15379,en,1984-11-16,22812411,101,Missing in Action,Horror
2410000,,12764,en,1985-03-01,10755447,100,Missing in Action 2: The Beginning,Adventure
2500000,,16094,en,1990-03-09,26386000,100,House Party,Documentary
2142000,,494,en,1973-06-14,1458000,112,Shaft in Africa,Comedy
1978000,,493,en,1972-06-08,10000000,104,Shaft's Big Score!,Horror
65000000,http://movies.disney.com/the-kid,4244,en,2000-07-07,69700000,104,The Kid,Thriller
19000000,,4247,en,2000-07-07,278019771,88,Scary Movie,Documentary
1200000,,20770,en,1999-09-12,2600000,85,But I'm a Cheerleader,Documentary
8200000,,1788,en,1984-02-17,80035402,107,Footloose,Thriller
6000000,,32275,en,1946-12-31,20400000,144,Duel in the Sun,Action
75000000,,36657,en,2000-07-13,296339527,104,X-Men,Adventure
15000000,http://in-crowd.warnerbros.com/,36047,en,2000-07-19,5217498,105,The In Crowd,Thriller
100000000,,2655,en,2000-07-21,155464351,130,What Lies Beneath,Thriller
30000000,http://p2kmovie.warnerbros.com/index2.html,12599,ja,1999-07-17,133949270,84,Pokémon: The Movie 2000,Documentary
3500000,,11940,en,1977-07-15,16000000,113,Sinbad and the Eye of the Tiger,Drama
35000000,,10276,en,1991-05-17,63710000,100,What About Bob?,Comedy
2000000,,11624,en,1972-08-06,18016290,88,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Action
3000000,,11686,en,1975-06-10,20173742,85,Love and Death,Drama
84000000,,12107,en,2000-07-27,123307945,106,Nutty Professor II: The Klumps,Adventure
45000000,,6282,en,2000-07-30,113916474,100,Coyote Ugly,Thriller
95000000,,9383,en,2000-08-04,190213455,112,Hollow Man,Comedy
65000000,http://movies.warnerbros.com/spacecowboys/index.html,5551,en,2000-07-31,128884132,130,Space Cowboys,Comedy
10000000,,2360,en,2000-01-24,26330482,93,Saving Grace,Comedy
6000000,,33408,en,1993-04-02,13609396,89,The Crush,Action
4000000,,11589,en,1970-06-22,5200000,144,Kelly's Heroes,Sci-Fi
3000000,http://phantasm.com,15158,en,1988-07-08,7282851,97,Phantasm II,Action
3500000,,26515,en,1988-06-09,4385516,86,Pumpkinhead,Documentary
30000000,,39473,en,1994-10-28,3180674,101,Silent Fall,Sci-Fi
33000000,,8843,en,2000-08-17,104155843,107,The Cell,Sci-Fi
1000000,,10643,ja,1999-12-11,10037390,107,Godzilla 2000,Documentary
12000000,,37136,en,1988-12-02,78756177,85,The Naked Gun: From the Files of Police Squad!,Thriller
23000000,,37137,en,1991-06-28,86930411,85,The Naked Gun 2½: The Smell of Fear,Horror
3100000,,3110,en,1953-04-23,20000000,118,Shane,Horror
35000000,,9651,en,1984-11-19,14296438,124,Supergirl,Action
40000000,,11398,en,2000-08-23,30199105,117,The Art of War,Action
28000000,https://www.uphe.com/movies/bring-it-on,1588,en,2000-08-25,90449929,98,Bring It On,Comedy
25000000,,12211,en,2000-09-01,15843608,87,Highlander: Endgame,Comedy
8500000,,1619,en,2000-09-08,19125401,119,The Way of the Gun,Sci-Fi
60000000,,786,en,2000-09-15,47383689,122,Almost Famous,Comedy
25000000,,10562,en,2000-09-24,260562,110,Under Suspicion,Sci-Fi
14000000,,12212,en,2000-09-19,38574362,97,Urban Legends: Final Cut,Horror
12800000,,16,en,2000-05-17,40031879,140,Dancer in the Dark,Sci-Fi
1000000,,22597,en,2000-02-01,1744858,94,The Broken Hearts Club: A Romantic Comedy,Comedy
30000000,http://movies.disney.com/remember-the-titans,10637,en,2000-09-29,136706683,113,Remember the Titans,Sci-Fi
1000000,,9003,en,1987-09-11,14564027,94,Hellraiser,Drama
3000000,,9064,en,1988-12-23,12090735,97,Hellbound: Hellraiser II,Sci-Fi
5000000,,11569,en,1992-09-11,12534961,93,Hellraiser III: Hell on Earth,Comedy
1580000,,2160,en,1961-07-12,7000000,105,Voyage to the Bottom of the Sea,Documentary
5115000,,2161,en,1966-08-24,12000000,100,Fantastic Voyage,Horror
63600000,,10461,en,2000-10-06,19412993,102,Get Carter,Horror
55000000,,1597,en,2000-10-06,330444045,108,Meet the Parents,Documentary
4500000,http://www.requiemforadream.com/,641,en,2000-10-27,7390108,102,Requiem for a Dream,Documentary
24000000,,16888,en,2000-10-13,13700000,84,The Ladies Man,Action
1000000,,18498,en,1984-11-08,35000000,81,Ghoulies,Action
5000000,,71,en,2000-05-18,110000000,110,Billy Elliot,Horror
48000000,,1636,en,2000-10-19,90383208,93,Bedazzled,Thriller
40000000,,10647,en,2000-10-12,55707411,122,Pay It Forward,Comedy
22000000,,24100,en,2000-10-27,13555988,95,The Little Vampire,Sci-Fi
92000000,,4327,en,2000-11-02,264105545,98,Charlie's Angels,Action
80000000,,4958,en,2000-11-02,39459427,126,The Legend of Bagger Vance,Thriller
32000000,,11978,en,2000-09-13,48814909,129,Men of Honor,Action
80000000,,8870,en,2000-11-10,33463969,106,Red Planet,Action
7200000,http://www.mgm.com/view/movie/529/Diamonds-Are-Forever/,681,en,1971-12-13,116019547,120,Diamonds Are Forever,Adventure
82000000,,8452,en,2000-11-17,96085477,123,The 6th Day,Documentary
35000000,,10862,en,2000-11-15,36779296,106,Bounce,Sci-Fi
123000000,http://www.grinched.com/,8871,en,2000-11-17,345141403,104,How the Grinch Stole Christmas,Horror
30,,16340,it,2000-09-14,103,78,Rugrats in Paris: The Movie,Documentary
85000000,,10481,en,2000-10-07,183611771,100,102 Dalmatians,Drama
13500000,,10876,en,2000-11-22,7060876,124,Quills,Thriller
75000000,,9741,en,2000-11-13,248118121,106,Unbreakable,Horror
17000000,,146,zh,2000-10-01,213525736,120,"Crouching Tiger, Hidden Dragon",Comedy
35000000,,11849,en,2000-12-08,15185241,107,Dungeons & Dragons,Action
75000000,https://www.epicbuzz.net/movies/vertical-limit,11678,en,2000-12-08,215663859,124,Vertical Limit,Drama
25000000,,2669,en,1984-05-04,8613462,132,The Bounty,Thriller
40000000,http://www.mgm.com/view/movie/1132/The-Living-Daylights/,708,en,1987-06-29,191185897,130,The Living Daylights,Thriller
6000000,,1857,en,1986-08-08,5849647,84,The Transformers: The Movie,Horror
15000000,,10673,en,1987-12-10,43848069,126,Wall Street,Thriller
14000000,,2604,en,1989-12-20,161001698,145,Born on the Fourth of July,Sci-Fi
4000000,,10132,en,1988-12-21,3468572,110,Talk Radio,Comedy
20000000,,11064,en,1985-05-22,45833132,97,Brewster's Millions,Action
10000000,,107,en,2000-09-01,83557872,103,Snatch,Adventure
15000000,,40820,en,1988-10-07,21032267,123,Punchline,Sci-Fi
25000000,,392,en,2000-12-14,152500343,121,Chocolat,Drama
13000000,,8859,en,2000-12-15,73180723,83,"Dude, Where’s My Car?",Action
100000000,,11688,en,2000-12-09,169327687,78,The Emperor's New Groove,Sci-Fi
6,,12509,en,2000-09-06,8,122,Pollock,Adventure
70000000,,3981,en,2000-12-15,374111707,127,What Women Want,Drama
43000000,,711,en,2000-12-21,80049764,136,Finding Forrester,Adventure
10000000,,2046,en,2000-12-22,12008642,111,The Gift,Comedy
90000000,,8358,en,2000-12-22,429632142,143,Cast Away,Horror
10000000,,25520,en,2000-09-23,5164404,140,The House of Mirth,Thriller
45000000,,1493,en,2000-12-14,212000000,111,Miss Congeniality,Sci-Fi
26000000,,134,en,2000-08-30,71868327,106,"O Brother, Where Art Thou?",Adventure
28000000,,10577,en,2000-12-22,33000337,99,Dracula 2000,Adventure
80000000,,11973,en,2000-12-24,34566746,145,Thirteen Days,Action
48000000,,1900,en,2000-12-27,207515725,147,Traffic,Drama
8000000,,10873,en,2000-05-15,8279017,92,Shadow of the Vampire,Thriller
50000000,,15739,en,1982-06-18,57059003,127,Annie,Thriller
10000000,,15413,en,1991-06-07,25196249,105,Don't Tell Mom the Babysitter's Dead,Horror
12000000,,11209,en,1960-10-23,7900000,167,The Alamo,Drama
6500000,,13715,en,1986-04-18,2347000,111,At Close Range,Documentary
30000000,http://www.antitrustthemovie.com/,9989,en,2001-01-12,18195610,108,Antitrust,Comedy
13000000,,9816,en,2001-01-12,91038276,112,Save the Last Dance,Action
1000000,,20637,en,2000-12-01,779137,88,Panic,Horror
35000000,http://movies.warnerbros.com/thepledge/,5955,en,2001-01-09,29400000,123,The Pledge,Comedy
11000000,,16723,en,2001-01-24,13276953,81,Sugar & Spice,Thriller
35000000,,2018,en,2001-01-26,94728529,103,The Wedding Planner,Action
3000000,,10937,en,1987-09-02,3221568,100,Barfly,Documentary
20000000,,96,en,1987-05-18,299965036,100,Beverly Hills Cop II,Horror
15000000,,90,en,1984-11-29,316360478,105,Beverly Hills Cop,Sci-Fi
1800000,,12919,en,1987-08-14,31623833,94,Can't Buy Me Love,Sci-Fi
10000000,http://www.mgm.com/#/our-titles/366/Cherry-2000,15785,en,1987-11-12,14000,99,Cherry 2000,Drama
35000000,,10110,en,1987-12-09,22238696,153,Empire of the Sun,Drama
3000000,,18935,en,1987-05-22,23509382,92,Ernest Goes to Camp,Adventure
350000,,764,en,1981-10-15,29400000,85,The Evil Dead,Adventure
55000000,,12704,en,1987-05-15,14375181,107,Ishtar,Sci-Fi
23000000,,580,en,1987-07-17,51881013,89,Jaws: The Revenge,Documentary
1,,13703,en,1987-11-06,12396383,98,Less Than Zero,Drama
8500000,,1547,en,1987-07-31,32222567,97,The Lost Boys,Action
6000000,,10019,en,1987-02-13,42721196,89,Mannequin,Adventure
22000000,,11649,en,1987-08-07,17336370,106,Masters of the Universe,Documentary
12000000,,13509,en,1987-08-14,3769990,82,The Monster Squad,Comedy
14000000,,24940,en,2001-02-02,10424470,86,Head Over Heels,Sci-Fi
87000000,,9740,en,2001-02-08,351692268,131,Hannibal,Action
22000000,,10878,en,2001-02-09,19351569,90,Saving Silverman,Comedy
10000000,,19405,en,2001-01-27,44460850,83,Recess: School's Out,Comedy
40000000,,1921,en,2001-02-16,65754228,119,Sweet November,Comedy
75000000,,23685,en,2001-02-23,5409517,93,Monkeybone,Drama
62000000,,12138,en,2001-02-23,18720175,125,3000 Miles to Graceland,Documentary
57000000,,6073,en,2001-03-01,147845033,123,The Mexican,Sci-Fi
1900000,,82103,pt,2000-08-17,2070806,104,"Me, You, Them",Drama
60000000,,2749,en,2001-03-01,56359980,120,15 Minutes,Thriller
20000000,,2428,en,1965-02-15,15473333,199,The Greatest Story Ever Told,Sci-Fi
3000000,,22013,en,1960-06-19,10400000,146,Elmer Gantry,Sci-Fi
2000000,,14460,en,1980-09-08,11000000,104,Battle Beyond the Stars,Documentary
4000000,,17466,en,1990-09-14,16853487,93,Death Warrant,Adventure
15000000,,9594,en,1991-07-31,30102717,110,Double Impact,Comedy
23000000,http://www.mgm.com/title_title.do?title_star=HARLEYDA,2453,en,1991-08-23,7434726,98,Harley Davidson and the Marlboro Man,Documentary
7000000,,33676,en,1983-04-08,1246141,100,Losin' It,Documentary
31000000,,4587,en,1990-12-14,35419397,110,Mermaids,Adventure
15000000,,11454,en,1986-08-14,8620929,119,Manhunter,Comedy
7920000,,4192,en,1978-10-06,14560084,140,Death on the Nile,Horror
2900000,,4985,en,1974-08-21,43008075,121,The Longest Yard,Adventure
1250000,,23730,en,1984-08-31,3412497,88,C.H.U.D.,Horror
68000000,,853,en,2001-03-13,96976270,131,Enemy at the Gates,Comedy
50000000,http://www.exitwounds.net/,10877,en,2001-03-13,79958599,101,Exit Wounds,Sci-Fi
9000000,http://www.otnemem.com/,77,en,2000-10-11,39723096,113,Memento,Adventure
35000000,,10054,en,2001-03-18,147934180,88,Spy Kids,Drama
11000000,,10646,en,2001-03-30,23430766,95,Tomcats,Drama
21000000,,2575,en,2001-02-11,28008462,109,The Tailor of Panama,Action
2000000,,55,es,2000-06-16,20908467,154,Amores perros,Documentary
60000000,,2043,en,2001-04-06,105178561,104,Along Came a Spider,Action
53000000,,4133,en,2001-04-04,83282296,124,Blow,Action
16000000,http://movies.warnerbros.com/pk3/,10991,ja,2000-07-08,68411275,93,Pokémon: Spell of the Unknown,Documentary
1000000,,26791,en,2001-03-30,852206,119,Brigham City,Horror
25000000,,634,en,2001-04-13,281929795,97,Bridget Jones's Diary,Sci-Fi
17700000,,10956,en,2001-04-10,30987695,91,Joe Dirt,Sci-Fi
21150000,,9290,en,2001-04-12,39438674,92,Crocodile Dundee in Los Angeles,Thriller
25000000,,111,en,1983-12-08,65884703,170,Scarface,Thriller
94000000,,10477,en,2001-04-27,54744738,116,Driven,Action
90000000,,24113,en,2001-04-27,10372291,104,Town & Country,Drama
98000000,,1734,en,2001-04-28,433013274,130,The Mummy Returns,Comedy
31115000,,8095,en,1963-06-12,71000000,248,Cleopatra,Documentary
27000000,,849,en,1983-07-29,16519460,117,Krull,Thriller
17000000,,11307,en,1982-08-13,29712172,136,The World According to Garp,Documentary
12000000,,78133,en,1993-11-05,1703282,104,A Home of Our Own,Drama
40000000,,25221,en,1991-11-22,23202444,138,For the Boys,Adventure
2200000,,9062,en,1970-12-16,136400000,99,Love Story,Action
65000000,,9476,en,2001-05-11,117487473,132,A Knight's Tale,Drama
53000000,http://angeleyesmovie.warnerbros.com/index_noflash.html,5852,en,2001-05-15,29700000,102,Angel Eyes,Horror
60000000,http://www.shrek.com/,808,en,2001-05-16,484409218,90,Shrek,Sci-Fi
52500000,,824,en,2001-03-09,179213434,127,Moulin Rouge!,Adventure
140000000,,676,en,2001-05-21,449220945,183,Pearl Harbor,Horror
22000000,,22414,en,1990-09-12,39071603,101,Postcards from the Edge,Documentary
27000000,,1406,en,1991-06-07,179033791,112,City Slickers,Horror
15000000,,1632,en,1988-12-08,34604000,128,Mississippi Burning,Adventure
2000000,,966,en,1960-10-22,4905000,128,The Magnificent Seven,Thriller
14000000,,11896,en,1987-12-11,57915972,88,Throw Momma from the Train,Comedy
12000000,,5923,en,1966-12-20,20000000,182,The Sand Pebbles,Sci-Fi
22000000,,11090,en,2001-06-01,84772742,84,The Animal,Sci-Fi
80000000,,9397,en,2001-06-08,98376292,101,Evolution,Documentary
102000000,,9705,en,2001-06-07,147080413,99,Swordfish,Comedy
18000000,,10364,en,1970-06-24,24911670,121,Catch-22,Thriller
24000000,,1089,en,1991-07-12,83531958,120,Point Break,Thriller
23000000,,17494,en,1992-06-26,57138719,117,Unlawful Entry,Adventure
90000,,29393,en,1958-10-01,5000000,72,Macabre,Adventure
21000000,,9576,en,1982-12-16,177200000,116,Tootsie,Action
120000000,http://www.disney.com/atlantis,10865,en,2001-06-02,186053725,95,Atlantis: The Lost Empire,Thriller
115000000,,1995,en,2001-06-11,274703340,100,Lara Croft: Tomb Raider,Thriller
70000000,,10808,en,2001-06-22,176104344,87,Dr. Dolittle 2,Drama
38000000,,9799,en,2001-06-22,207283925,106,The Fast and the Furious,Documentary
100000000,,644,en,2001-06-29,235926552,146,A.I. Artificial Intelligence,Drama
16000000,,16161,en,2001-06-27,29381649,130,Baby Boy,Adventure
13000000,,10691,en,2001-06-29,16929123,99,Crazy/Beautiful,Documentary
60000000,http://catsanddogsmovie.warnerbros.com/cmp/main.html,10992,en,2001-07-04,93375151,87,Cats & Dogs,Drama
25000000,,2140,en,2001-07-06,64437847,98,Kiss of the Dragon,Sci-Fi
45000000,,4248,en,2001-07-04,141220678,83,Scary Movie 2,Action
18000000,,11286,en,1981-06-19,72179579,95,The Cannonball Run,Drama
2686000,,15875,en,1963-06-12,6600000,109,Donovan's Reef,Comedy
270000,,23439,en,1960-06-21,1450000,79,House of Usher,Documentary
3200000,,11697,en,1962-04-22,8000000,123,The Man Who Shot Liberty Valance,Adventure
14000000,,19200,en,1991-12-05,2735731,85,Shadows and Fog,Horror
4000000,,11536,en,1961-01-01,8200000,124,The Misfits,Sci-Fi
4500000,,10339,en,1956-06-27,10400000,116,Moby Dick,Horror
10000000,,13938,en,1985-03-22,25754284,108,The Last Dragon,Documentary
16000000,,10540,en,1981-05-22,17374595,112,Outland,Comedy
130000,,9462,cn,1972-06-01,85000000,100,The Way of the Dragon,Action
137000000,,2114,en,2001-07-02,85131830,106,Final Fantasy: The Spirits Within,Action
18000000,,8835,en,2001-07-13,141774679,96,Legally Blonde,Adventure
68000000,,11371,en,2001-07-13,71069884,124,The Score,Sci-Fi
5000000,,15745,en,2001-07-13,5476060,94,Made,Documentary
7500000,,9395,en,1988-04-08,18869631,99,Above the Law,Drama
46630000,,14506,en,1988-12-07,8083123,126,The Adventures of Baron Munchausen,Sci-Fi
4000000,,5333,en,1988-09-30,670774,124,Apartment Zero,Documentary
4000000,,59797,en,1988-04-08,9797098,86,Bad Dreams,Sci-Fi
20000000,,19382,en,1988-03-25,51684798,106,Biloxi Blues,Drama
19000000,,9599,en,1988-08-05,8247943,95,The Blob,Thriller
8000000,,94440,en,1988-12-23,784990,95,The Boost,Sci-Fi
3512454,,110428,fr,2013-03-13,115860,95,Camille Claudel 1915,Sci-Fi
20000000,,7520,en,1988-07-29,171504781,104,Cocktail,Sci-Fi
6000000,,10126,en,1988-04-15,46616067,120,Colors,Drama
39000000,,9602,en,1988-06-28,288752301,116,Coming to America,Documentary
2000000,,3980,en,1986-04-11,13167232,82,Critters,Drama
4500000,,10127,en,1988-04-29,3813293,86,Critters 2,Thriller
6000000,,26386,en,1988-11-11,28202109,95,Ernest Saves Christmas,Thriller
20000000,,10675,en,1988-02-16,17637950,120,Frantic,Thriller
24000000,,2617,en,1988-06-17,43455230,91,The Great Outdoors,Documentary
9000000,http://www.wbshop.com/product/hot+to+trot+1000180065.do,30690,en,1988-08-26,6436211,88,Hot to Trot,Sci-Fi
2500000,,11347,en,1988-09-14,1189315,93,The Lair of the White Worm,Comedy
12300000,,12144,en,1988-11-18,84460846,69,The Land Before Time,Thriller
8000000,,13704,en,1988-07-06,22433275,90,License to Drive,Comedy
20000000,,12120,en,1988-12-09,13854000,108,My Stepmother is an Alien,Comedy
12000000,,38617,en,1988-03-11,7242035,102,Off Limits,Sci-Fi
8000000,,51321,en,1988-04-22,1893139,91,Permanent Record,Action
29000000,,9604,en,1988-06-17,34994648,104,Red Heat,Comedy
6200000,,24929,en,1988-01-15,9205924,89,Return of the Living Dead Part II,Action
4000000,,10925,en,1985-05-15,14237000,91,The Return of the Living Dead,Horror
3500000,,24266,en,1982-03-02,20659423,104,The Man from Snowy River,Adventure
7000000,,11503,en,1988-02-05,19595031,98,The Serpent and the Rainbow,Documentary
16000000,,38560,en,1988-04-29,4594452,102,Sunset,Sci-Fi
4000000,http://www.theofficialjohncarpenter.com/they-live/,8337,en,1988-11-23,13008928,94,They Live,Adventure
15000000,,9493,en,1988-12-09,216614388,107,Twins,Adventure
31000000,,11352,en,1989-12-22,74134790,122,Always,Thriller
1000000,,12500,en,1985-08-30,10499694,95,American Ninja,Thriller
5000000,,45225,en,1989-09-15,117463,100,The Big Picture,Sci-Fi
10000000,http://www.billandted.org/,1648,en,1989-02-17,40485039,90,Bill & Ted's Excellent Adventure,Documentary
30000000,,4105,en,1989-09-22,45892212,125,Black Rain,Action
22500000,,10142,en,1989-08-18,18671317,113,Casualties of War,Action
500000,,10134,en,1989-04-07,10166459,86,Cyborg,Drama
19000000,,21291,en,1989-10-27,19738015,117,Dad,Sci-Fi
10000000,,2210,en,1988-09-08,3916303,100,Earth Girls Are Easy,Drama
16000000,,20713,en,1989-03-03,2420917,117,Farewell to the King,Drama
30000000,,9085,en,1989-11-17,60864870,116,Harlem Nights,Horror
20000000,,505,en,1989-09-12,7237794,94,Johnny Handsome,Thriller
17000000,,10345,en,1989-04-28,78247647,101,K-9,Horror
1500000,,10222,en,1989-04-20,14697005,97,Kickboxer,Drama
25000000,,14372,en,1989-03-17,15704614,98,Leviathan,Horror
7000000,,15138,en,1989-08-25,793775,102,Little Monsters,Adventure
24000000,,9972,en,1989-08-04,22099847,115,Lock Up,Horror
7500000,,9494,en,1989-10-12,296000000,93,Look Who's Talking,Action
11000000,,9942,en,1989-02-16,49797148,107,Major League,Adventure
3000000,,24739,en,1989-05-19,1145404,87,Miracle Mile,Comedy
12000000,,27418,en,1989-10-20,15942628,108,Next of Kin,Documentary
8000000,,39002,en,1989-06-02,16093651,93,No Holds Barred,Horror
16000000,,12663,en,1988-12-24,4192440,105,Red Scorpion,Adventure
93000000,,331,en,2001-07-18,368780809,92,Jurassic Park III,Comedy
12000000,http://www.office-kitano.co.jp/brother/index.html,327,ja,2000-09-09,15250000,114,Brother,Comedy
100000000,,869,en,2001-07-25,362211740,119,Planet of the Apes,Comedy
20000,,36095,ja,1997-11-06,99000,111,Cure,Adventure
400000,,196859,en,2001-07-26,43719,97,Jackpot,Horror
5000000,http://www.wethotamericansummer.com/,2171,en,2001-07-27,295206,97,Wet Hot American Summer,Horror
15000000,,10135,en,1989-05-19,30050028,114,Road House,Documentary
19000000,,12150,en,1989-09-15,110879513,113,Sea of Love,Comedy
18000000,,11185,en,1989-05-12,46908987,103,"See No Evil, Hear No Evil",Action
5000000,,12521,en,1989-10-27,16554699,109,Shocker,Sci-Fi
55000000,,9618,en,1989-12-22,63408614,104,Tango & Cash,Comedy
15000000,,31608,en,1989-01-27,40590000,96,Three Fugitives,Horror
15000000,,2616,en,1989-08-16,79258538,100,Uncle Buck,Horror
2000000,,7091,en,1988-09-17,725131,103,Vampire's Kiss,Comedy
6000000,,183,en,1989-12-15,14278900,100,The Wizard,Action
58000000,,2148,en,1984-12-14,25928721,127,The Cotton Club,Thriller
42000000,,2057,en,2001-08-03,35402320,118,Original Sin,Action
37000000,,9880,en,2001-08-03,165335153,115,The Princess Diaries,Horror
90000000,,5175,en,2001-08-03,347325802,90,Rush Hour 2,Drama
20000000,,20391,en,1969-10-15,31678778,158,Paint Your Wagon,Thriller
15000000,,11542,en,1980-12-25,19853892,102,Altered States,Documentary
30000000,,2770,en,2001-08-10,287553595,108,American Pie 2,Sci-Fi
75000000,http://www.osmosisjones.com/,12610,en,2001-08-07,13596911,95,Osmosis Jones,Sci-Fi
35000000,,13496,en,2001-08-17,13678913,94,American Outlaws,Comedy
1500000,,10972,en,2001-08-10,373967,100,Session 9,Thriller
57000000,http://movies.uip.de/corellismandoline/,1722,en,2001-08-17,62112895,131,Captain Corelli's Mandolin,Documentary
48000000,,9896,en,2001-07-30,85498534,112,Rat Race,Drama
22000000,,2294,en,2001-08-22,33788161,104,Jay and Silent Bob Strike Back,Thriller
28000000,http://www.theofficialjohncarpenter.com/ghost-of-mars/,10016,en,2001-08-24,14010832,98,Ghosts of Mars,Horror
34000000,,26602,en,2001-08-22,19693891,108,Summer Catch,Documentary
10000000,,8922,en,2001-07-01,59217789,90,Jeepers Creepers,Sci-Fi
1900000,,34223,en,1986-07-18,4790926,93,Vamp,Horror
40000000,,11370,en,2001-09-07,27053815,104,The Musketeer,Sci-Fi
57000000,,12508,en,2001-09-04,16991902,105,Rock Star,Comedy
700000,http://tartanvideo.com/film.asp?ProjectID={C668EA2C-810D-4E33-AB5C-9B8B00FA4B8A},18734,en,2001-01-20,1667192,97,L.I.E.,Adventure
30000000,,2176,en,2001-09-14,23619609,106,The Glass House,Documentary
32000000,,20857,en,2001-09-14,40222729,106,Hardball,Adventure
40000000,,2185,en,2002-04-05,8493890,85,Big Trouble,Adventure
22000000,,10696,en,2001-09-21,5271666,104,Glitter,Thriller
45000000,,2034,en,2001-10-05,104876233,122,Training Day,Horror
1000000,,31016,en,2001-11-23,2402459,107,Sidewalks of New York,Horror
9400000,,11576,en,1963-11-07,60000000,163,"It's a Mad, Mad, Mad, Mad World",Thriller
725000,,15393,en,1971-11-03,10600000,102,Play Misty for Me,Action
2900000,,248,en,1961-12-18,5000000,136,Pocketful of Miracles,Adventure
18000000,,13766,en,1986-06-06,9697739,107,SpaceCamp,Sci-Fi
50000000,,12103,en,2001-09-28,100020092,113,Don't Say a Word,Horror
31000000,,11313,en,2001-09-07,24185781,101,Hearts in Atlantis,Drama
28000000,,9398,en,2001-09-28,60780981,89,Zoolander,Action
23000000,,10866,en,2001-10-05,36642838,97,Joy Ride,Comedy
12000000,,34549,en,2001-10-05,17292381,86,Max Keeble's Big Move,Adventure
28000000,,9778,en,2001-10-05,77516304,90,Serendipity,Adventure
4500000,,16121,en,1980-05-28,7206220,113,The Big Red One,Adventure
15000000,,16769,en,1980-03-07,67182787,125,Coal Miner's Daughter,Sci-Fi
75000000,,3172,en,2001-10-12,67631903,123,Bandits,Thriller
11000000,,17708,en,2001-10-12,23978402,86,Corky Romano,Sci-Fi
15000000,,1018,en,2001-05-16,20117339,147,Mulholland Drive,Comedy
10000000,,11380,en,2001-10-24,7316658,96,Bones,Documentary
4000000,http://www.warnerbros.com/dirty-harry/,984,en,1971-12-21,35976000,102,Dirty Harry,Adventure
9000000,,14811,en,1971-11-03,83304330,181,Fiddler on the Roof,Comedy
35000000,,768,en,2001-10-19,74558115,122,From Hell,Documentary
72000000,,2100,en,2001-10-19,27642707,131,The Last Castle,Action
48000000,,11091,en,2001-10-19,35743308,132,Riding in Cars with Boys,Drama
48000000,http://www.k-pax.com/,167,en,2001-10-22,50315140,120,K-PAX,Adventure
6000000,,141,en,2001-01-18,1270522,113,Donnie Darko,Thriller
75000000,,11456,en,2001-10-30,54249294,89,Domestic Disturbance,Comedy
115000000,http://movies.disney.com/monsters-inc,585,en,2001-11-01,562816256,92,"Monsters, Inc.",Action
49000000,,10796,en,2001-11-02,72700000,87,The One,Drama
